Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5, C6",0805,3,10uF,C440198
C2,0805,1,1uF,C28323
C3,0805,1,100nF,C49678
C4,CP_EIA-3216-18_Kemet-A_HandSolder,1,22uF Tantalum,C45783
"D2, D3",D_SOD-123,2,D_Schottky,C8598
D4,D_SOD-123,1,1N4148,C81598
J5,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C165948
Q1,SOT-23,1,MMBT3904,C2145
"R1, R8, R9",0805,3,1k,C17513
"R10, R11, R2, R3, R4, R5",0805,6,10k,C17414
"R6, R7",0805,2,5.1k,C27834
SW1,SW_SPST_TS-1088-xR025,1,BOOT_BTN,C720477
SW2,SW_SPST_TS-1088-xR025,1,RESET_BTN,C720477
U1,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,C2934560
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
