Designator,Mid X,Mid Y,Rotation,Layer
C1,127.55,-112.0,180.0,top
C2,117.95,-88.5,180.0,top
C3,118.05,-91.0,180.0,top
C4,127.56,-107.0,0.0,top
C5,150.55,-91.5,180.0,top
C6,150.55,-95.0,180.0,top
D2,137.0,-118.5,270.0,top
D3,133.0,-118.5,270.0,top
D4,160.0,-116.0,270.0,top
J1,166.5,-85.75,90.0,top
J2,166.5,-95.0,90.0,top
J3,166.5,-104.25,90.0,top
J4,126.25,-120.0,0.0,top
J5,145.32,-122.45,0.0,top
K1,166.46,-117.08,0.0,top
Q1,156.0,-111.0625,90.0,top
R1,154.5875,-101.5,180.0,top
R10,158.0875,-91.5,180.0,top
R11,158.0875,-96.5,180.0,top
R2,118.0875,-93.5,0.0,top
R3,158.0875,-94.0,180.0,top
R4,117.9125,-100.5,0.0,top
R5,117.9125,-104.0,0.0,top
R6,144.0,-107.9125,270.0,top
R7,147.0,-107.9125,270.0,top
R8,154.4125,-89.5,180.0,top
R9,154.4125,-98.0,180.0,top
SW1,107.48,-109.4,0.0,top
SW2,107.48,-98.75,0.0,top
U1,137.08,-95.05,0.0,top
U2,135.85,-110.0,180.0,top
