Comment;Designator;Footprint;JLCPCB Part #(optional);Quantity
RESET_BTN;SW2;SW_SPST_TS-1088-xR025;C720477;1
BOOT_BTN;SW1;SW_SPST_TS-1088-xR025;C720477;1
10K;R2;R_0805_2012Metric;;1
USB_C_Receptacle_USB2.0_16P;J5;USB_C_Receptacle_HRO_TYPE-C-31-M-12;;1
D_Schottky;D2,D3;D_SOD-123;C64885;2
10uF;C5,C6,C1;C_0805_2012Metric;;3
10k;R5,R3,R4,R11,R10;R_0805_2012Metric;;5
1uF;C2;C_0805_2012Metric;;1
5.1k;R6,R7;R_0805_2012Metric;;2
1k;R9,R1,R8;R_0805_2012Metric;;3
22uF Tantalum;C4;CP_EIA-3216-18_Kemet-A_HandSolder;C45783;1
100nF;C3;C_0805_2012Metric;;1
ESP32-C3-WROOM-02;U1;ESP32-C3-WROOM-02;;1
AMS1117-3.3;U2;SOT-223-3_TabPin2;C6186;1
1N4148;D4;D_SOD-123;C7420318;1
MMBT3904;Q1;SOT-23;C7420357;1
